2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
127 , 0x206952900
544 , 0x206955d20
545 , 0x206955d40
546 , 0x206955d60
547 , 0x206955d80
548 , 0x206955da0
549 , 0x206955dc0
550 , 0x206955de0
551 , 0x206955e00
552 , 0x206955e20
553 , 0x206955e40
554 , 0x206955e60
555 , 0x206955e80
556 , 0x206955ea0
557 , 0x206955ec0
558 , 0x206955ee0
559 , 0x206955f00
560 , 0x206955f20
561 , 0x206955f40
562 , 0x206955f60
563 , 0x206955f80
564 , 0x206955fa0
565 , 0x206955fc0
566 , 0x206955fe0
567 , 0x206956000
568 , 0x206956020
569 , 0x206956040
570 , 0x206956060
571 , 0x206956080
572 , 0x2069560a0
573 , 0x2069560c0
574 , 0x2069560e0
575 , 0x206956100
1184 , 0x20695ad20
1185 , 0x20695ad40
1186 , 0x20695ad60
1187 , 0x20695ad80
1188 , 0x20695ada0
1189 , 0x20695adc0
1190 , 0x20695ade0
1191 , 0x20695ae00
1192 , 0x20695ae20
1193 , 0x20695ae40
